Generation;AvgFitness;MaxFitness;MinFitness;StdDevFitness;AvgStamina;MaxStamina;MinStamina;StdDevStamina;AvgSpeed;MaxSpeed;MinSpeed;StdDevSpeed;AvgEatNeed;MaxEatNeed;MinEatNeed;StdDevEatNeed;AvgFatSave;MaxFatSave;MinFatSave;StdDevFatSave
19;146,1503;153,5040;123,4788;7,9960;4,9069;5,0000;4,5537;0,1409;19,7106;20,0711;18,1299;0,4918;2,3795;3,5409;2,0000;0,3530;0,1350;0,6303;0,0000;0,1880
20;147,8581;153,5206;124,2616;8,0725;4,9400;5,0000;4,5643;0,1126;19,7620;20,0188;18,1904;0,4081;2,3786;3,6680;2,0170;0,3298;0,0930;0,8003;0,0000;0,1761
21;147,6167;153,5266;120,1736;8,2582;4,8790;5,0000;4,3889;0,1635;19,7995;20,0000;18,6018;0,3430;2,3249;3,2265;2,0000;0,2163;0,0661;0,4117;-0,0150;0,1021
22;148,9398;153,5266;124,4600;6,8928;4,9141;5,0000;4,4913;0,1352;19,8427;20,0000;18,9892;0,2618;2,2732;2,6454;1,9548;0,1575;0,0501;0,4363;-0,0541;0,0953
23;150,4285;153,5266;133,5826;4,7705;4,9385;5,0000;4,6093;0,1130;19,9176;20,0589;19,1175;0,1701;2,2731;2,6062;1,9548;0,1434;0,0330;0,2115;-0,1552;0,0585
24;150,5488;153,5266;133,3138;4,2202;4,9366;5,0000;4,5817;0,1115;19,8727;20,0589;19,3658;0,1605;2,2419;2,6279;2,0000;0,1427;0,0411;0,2167;0,0000;0,0503
25;152,1986;153,5266;147,1877;1,7184;4,9690;5,0000;4,7128;0,0684;19,9157;20,0992;19,3010;0,1469;2,2217;2,3751;2,0000;0,1173;0,0521;0,2372;0,0000;0,0562
26;151,5289;153,5266;133,5934;3,6063;4,9572;5,0707;4,6394;0,0817;19,9186;20,0589;19,4641;0,1553;2,2339;2,3786;2,0000;0,1127;0,0406;0,1698;-0,0457;0,0424
27;151,4910;153,5313;134,0914;3,3731;4,9575;5,0000;4,6856;0,0740;19,9008;20,0589;19,4208;0,1516;2,2319;2,3758;2,0135;0,0977;0,0445;0,1916;0,0000;0,0375
28;150,6609;153,5313;130,0368;4,3887;4,9175;5,1131;4,5414;0,1285;19,9147;20,0589;19,4174;0,1577;2,2662;2,3453;2,0000;0,0707;0,0487;0,1685;-0,0562;0,0406
