era;generation;difficultyMode;temp;wet;windStrength;eatPredator;eatHerbivore;agentIndex;score;hp;stamina;speed;tempResist;wetResist;fatSave;eatNeed;speedN;staminaN;hpLoseN;eatN;abilitiesBonus;hpPenalty;eatPenalty
0;2;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;18;122,787;-24,3178;18,65443;4,731973;8,702404;23,95283;0,3106189;4,249265;0,9463946;0,9327213;1;0;42,87254;20,08554;0
0;2;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;19;121,6192;-295,0703;18,06734;4,809698;-12,5236;34,61884;0,3809499;4,298337;0,9619396;0,9033672;1;0;41,7047;20,08554;0
0;2;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;20;144,2591;77,92017;18,32948;5;9,097;33,66652;0,1892748;4,259264;1;0,916474;0,2207983;0;46,19853;1,939431;0
0;2;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;21;94,48044;-15398,18;15,74336;2,76088;52,63482;95,68237;0,4313051;6;0,5521759;0,7871682;1;0;14,56597;20,08554;0
0;2;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;22;110,0353;-665943,2;15,1093;4,735719;-49,85522;37,42062;1;2,480029;0,9471439;0,7554652;1;0;30,12086;20,08554;0
0;2;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;23;126,8482;71,35274;17,69925;4,011462;30,52135;61,13037;0,7956901;5,171659;0,8022925;0,8849624;0,2864726;0;29,20996;2,361785;0
0;2;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;24;110,3532;-566842,1;15,42487;4,683072;83,38861;90,13031;0,5207503;3,673227;0,9366143;0,7712436;1;0;30,43873;20,08554;0
0;2;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;25;86,87206;-297,7874;10,436;2,240588;-12,69874;42,00318;1;5,8636;0,4481176;0,5217999;1;0;6,957602;20,08554;0
0;2;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;26;89,09747;-153384,2;6,182578;3,997741;-42,5095;20,99909;1;3,80534;0,7995481;0,3091289;1;0;9,183001;20,08554;0
0;2;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;27;113,2815;-928683,5;16,12691;4,737195;-51,51769;29,94897;0,01082556;3,414894;0,9474391;0,8063453;1;0;33,36705;20,08554;0
0;2;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;28;110,0728;-20636,37;15,12562;4,734748;-32,48137;24,34238;0,6583071;2,310892;0,9469497;0,7562811;1;0;30,15835;20,08554;0
0;2;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;29;126,2822;-798,119;19,17196;4,798517;50,10592;73,67553;0,4801281;4,492858;0,9597033;0,9585981;1;0;46,36769;20,08554;0
